epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,972.304,2.27493,2.09746,0.93526,0.11027,0.01948,0.05955,0.03169,1.98588,1.83489,0.9053,0.000416472,0.000416472,0.000416472
2,1894.51,2.06005,1.70214,0.89463,0.17339,0.10284,0.10471,0.05765,1.88034,1.80475,0.89057,0.000668177,0.000668177,0.000668177
3,2716.5,1.96764,1.62921,0.88091,0.09874,0.00065,0.05102,0.02584,1.8964,1.72698,0.89115,0.000754882,0.000754882,0.000754882
4,3546.05,1.92071,1.58282,0.87303,0.17044,0.03007,0.09256,0.05241,1.78768,1.71928,0.87522,0.0005075,0.0005075,0.0005075
5,4388.82,1.86015,1.55448,0.86775,0.1742,0.01774,0.09204,0.04969,1.78291,1.67958,0.87103,0.00026,0.00026,0.00026
