epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,738.42,2.21169,2.1622,0.9327,0.10088,0.00118,0.05095,0.02401,2.12946,1.87544,0.92573,0.000416472,0.000416472,0.000416472
2,1384.6,2.05308,1.72341,0.89859,0.33411,0.0243,0.1725,0.10828,2.00149,1.76479,0.91041,0.000750658,0.000750658,0.000750658
3,2011.91,2.00474,1.64774,0.88769,0.11317,0.00913,0.05822,0.03183,1.94836,1.7513,0.9004,0.00100234,0.00100234,0.00100234
4,2658.68,1.92979,1.60569,0.8782,0.15314,0.00749,0.07928,0.04392,1.90143,1.72151,0.89038,0.00087875,0.00087875,0.00087875
5,3321.17,1.87402,1.57113,0.87286,0.15281,0.02724,0.08326,0.04465,1.90216,1.7071,0.89057,0.000755,0.000755,0.000755
6,4025.24,1.83104,1.53596,0.86624,0.12136,0.03832,0.06829,0.03971,1.88277,1.71751,0.88235,0.00063125,0.00063125,0.00063125
7,4674.92,1.80826,1.51607,0.86252,0.15013,0.02517,0.0803,0.04475,1.85588,1.69414,0.8812,0.0005075,0.0005075,0.0005075
8,5358.78,1.78807,1.48727,0.85969,0.1295,0.03842,0.07103,0.03904,1.82941,1.74292,0.87528,0.00038375,0.00038375,0.00038375
9,6123.76,1.76479,1.46944,0.85566,0.13088,0.02462,0.06963,0.04135,1.83804,1.76965,0.88113,0.00026,0.00026,0.00026
