epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,955.917,2.27493,2.09746,0.93526,0.11027,0.01948,0.05955,0.03169,1.98588,1.83489,0.9053,0.000416472,0.000416472,0.000416472
2,1839.26,2.0693,1.70674,0.89451,0.10952,0.05451,0.06411,0.03513,1.89657,1.78523,0.89133,0.000730038,0.000730038,0.000730038
3,2664.54,1.98414,1.63916,0.88273,0.22461,0.00754,0.11458,0.0727,1.83373,1.71173,0.88284,0.000940478,0.000940478,0.000940478
4,3503.86,1.9295,1.58879,0.87392,0.126,0.011,0.06704,0.0387,1.79879,1.72113,0.8794,0.000785938,0.000785938,0.000785938
5,4378.49,1.89448,1.56797,0.87158,0.14509,0.03922,0.07965,0.04232,1.81751,1.72661,0.87741,0.00063125,0.00063125,0.00063125
6,5322.98,1.8486,1.54497,0.86667,0.13956,0.02445,0.07524,0.04236,1.77667,1.69895,0.87209,0.000476562,0.000476562,0.000476562
